"School Name","School Email","School Telephone Number","School Address","Accompanying Teacher Name","Accompanying Teacher Number"
"dps noida",dps@gmail.com,9821345860391,"chutyap nagar
",hindusatini,348129239495
Event,"Participant 1","participant 2"
"Ms paint ",mspaint,23456
"senior programing",sp,32566
"Dj mixing",dm,324453
"Quiz ",q1,43535
scratch,s1,2142431
Sherlocked,dsds,
"show and tell",,
"Air Hockey",,
Photoshop,,
Gaming,,
"Movie Making",,
"Ms paint paint",,
Sherlocked,,
GAME-DEV,,
Scratch,,
"Ad - Making",,,,,
