"School Name","School Email","School Telephone Number","School Address","Accompanying Teacher Name","Accompanying Teacher Number"
"school name ",schoolnam@gmail.com,3232,"ewew
","chutiya ",232322
Event,"Participant 1","participant 1 no","participant 2 ","participant 2 no."
"Ms paint ",paint,16,sp,15
"Quiz ",15,dm
scratch,14,q
Sherlocked,13,sc
"show and tell",12,
Photography,sant,11
photoshop,phoyt,10
"poster making",photoshp,9
Robotics,,
"web desiging ",,
GAME-DEV,,
"ad making",,
Jam-n-gd,,
gaming,,
,,
,,,,,
